ParName	Value	Gradient
log_relpop[130]	0.172469	3.75311e-07
log_relpop[131]	-0.466491	1.2328e-07
log_relpop[132]	-0.233519	-2.51956e-07
log_relpop[133]	0.5196	-1.2687e-06
log_relpop[134]	0.338653	2.20473e-07
log_relpop[135]	-0.484355	3.24998e-08
log_relpop[136]	-0.494666	-2.30708e-07
log_relpop[137]	-0.166219	5.65432e-07
log_relpop[138]	0.0924562	9.17017e-07
log_relpop[139]	0.400531	-3.15758e-07
log_relpop[140]	0.336593	-7.94052e-07
log_relpop[141]	0.349575	5.6093e-07
log_relpop[142]	0.172469	3.75311e-07
log_relpop[143]	-0.466491	1.2328e-07
log_relpop[144]	-0.233519	-2.51956e-07
log_relpop[145]	0.5196	-1.2687e-06
log_relpop[146]	0.338653	2.20473e-07
log_relpop[147]	-0.484355	3.24998e-08
log_relpop[148]	-0.494666	-2.30708e-07
log_relpop[149]	-0.166219	5.65432e-07
log_relpop[150]	0.0924562	9.17017e-07
log_relpop[151]	0.400531	-3.15758e-07
log_relpop[152]	0.336593	-7.94052e-07
log_relpop[153]	0.349575	5.6093e-07
log_relpop[154]	0.172469	3.75311e-07
log_relpop[155]	-0.466491	1.2328e-07
log_relpop[156]	-0.233519	-2.51956e-07
log_relpop[157]	0.5196	-1.2687e-06
log_relpop[158]	0.338653	2.20473e-07
log_relpop[159]	-0.484355	3.24998e-08
log_relpop[160]	-0.494666	-2.30708e-07
log_relpop[161]	-0.166219	5.65432e-07
log_relpop[162]	0.0924562	9.17017e-07
log_relpop[163]	0.400531	-3.15758e-07
log_relpop[164]	0.336593	-7.94052e-07
log_relpop[165]	0.349575	5.6093e-07
log_relpop[166]	0.172469	3.75311e-07
log_relpop[167]	-0.466491	1.2328e-07
log_relpop[168]	-0.233519	-2.51956e-07
log_relpop[169]	0.5196	-1.2687e-06
log_relpop[170]	0.338653	2.20473e-07
log_relpop[171]	-0.484355	3.24998e-08
log_relpop[172]	-0.494666	-2.30708e-07
log_relpop[173]	-0.166219	5.65432e-07
log_relpop[174]	0.0924562	9.17017e-07
log_relpop[175]	0.400531	-3.15758e-07
log_relpop[176]	0.336593	-7.94052e-07
log_relpop[177]	0.349575	5.6093e-07
log_relpop[178]	0.172469	3.75311e-07
log_relpop[179]	-0.466491	1.2328e-07
log_relpop[180]	-0.233519	-2.51956e-07
log_relpop[181]	0.5196	-1.2687e-06
log_relpop[182]	0.338653	2.20473e-07
log_relpop[183]	-0.484355	3.24998e-08
log_relpop[184]	-0.494666	-2.30708e-07
log_relpop[185]	-0.166219	5.65432e-07
log_relpop[186]	0.0924562	9.17017e-07
log_relpop[187]	0.400531	-3.15758e-07
log_relpop[188]	0.336593	-7.94052e-07
log_relpop[189]	0.349575	5.6093e-07
log_relpop[190]	0.172469	3.75311e-07
log_relpop[191]	-0.466491	1.2328e-07
log_relpop[192]	-0.233519	-2.51956e-07
log_relpop[193]	0.5196	-1.2687e-06
